"sum_stat" "condition" "response" "model" "len"
"461" "middle_mean" 5 "upper" "normal" 754
"462" "middle_mean" 5 "upper" "t" 758
"463" "middle_mean" 6 "lower" "independent" 1089
"464" "middle_mean" 6 "lower" "normal" 1072
"465" "middle_mean" 6 "lower" "t" 1087
"466" "middle_mean" 6 "upper" "independent" 661
"467" "middle_mean" 6 "upper" "normal" 665
"468" "middle_mean" 6 "upper" "t" 662
"469" "middle_mean" 7 "lower" "independent" 74
"470" "middle_mean" 7 "lower" "normal" 74
"471" "middle_mean" 7 "lower" "t" 75
"472" "middle_mean" 7 "upper" "independent" 80
"473" "middle_mean" 7 "upper" "normal" 80
"474" "middle_mean" 7 "upper" "t" 80
"475" "middle_mean" 8 "lower" "independent" 73
"476" "middle_mean" 8 "lower" "normal" 73
"477" "middle_mean" 8 "lower" "t" 73
"478" "middle_mean" 8 "upper" "independent" 78
"479" "middle_mean" 8 "upper" "normal" 78
"480" "middle_mean" 8 "upper" "t" 78
"481" "middle_mean" 9 "lower" "independent" 70
"482" "middle_mean" 9 "lower" "normal" 70
"483" "middle_mean" 9 "lower" "t" 70
"484" "middle_mean" 9 "upper" "independent" 75
"485" "middle_mean" 9 "upper" "normal" 75
"486" "middle_mean" 9 "upper" "t" 74
"487" "middle_mean" 10 "lower" "independent" 66
"488" "middle_mean" 10 "lower" "normal" 65
"489" "middle_mean" 10 "lower" "t" 66
"490" "middle_mean" 10 "upper" "independent" 69
"491" "middle_mean" 10 "upper" "normal" 69
"492" "middle_mean" 10 "upper" "t" 70
"493" "middle_mean" 11 "lower" "independent" 60
"494" "middle_mean" 11 "lower" "normal" 59
"495" "middle_mean" 11 "lower" "t" 60
"496" "middle_mean" 11 "upper" "independent" 63
"497" "middle_mean" 11 "upper" "normal" 63
"498" "middle_mean" 11 "upper" "t" 63
"499" "middle_mean" 12 "lower" "independent" 51
"500" "middle_mean" 12 "lower" "normal" 52
"501" "middle_mean" 12 "lower" "t" 51
"502" "middle_mean" 12 "upper" "independent" 55
"503" "middle_mean" 12 "upper" "normal" 55
"504" "middle_mean" 12 "upper" "t" 56
"505" "middle_mean" 13 "lower" "independent" 1011
"506" "middle_mean" 13 "lower" "normal" 987
"507" "middle_mean" 13 "lower" "t" 993
"508" "middle_mean" 13 "upper" "independent" 1028
"509" "middle_mean" 13 "upper" "normal" 1011
"510" "middle_mean" 13 "upper" "t" 1018
"511" "middle_mean" 14 "lower" "independent" 1045
"512" "middle_mean" 14 "lower" "normal" 1004
"513" "middle_mean" 14 "lower" "t" 1019
"514" "middle_mean" 14 "upper" "independent" 976
"515" "middle_mean" 14 "upper" "normal" 968
"516" "middle_mean" 14 "upper" "t" 966
"517" "middle_mean" 15 "lower" "independent" 1079
"518" "middle_mean" 15 "lower" "normal" 1041
"519" "middle_mean" 15 "lower" "t" 1045
"520" "middle_mean" 15 "upper" "independent" 906
"521" "middle_mean" 15 "upper" "normal" 901
"522" "middle_mean" 15 "upper" "t" 903
"523" "middle_mean" 16 "lower" "independent" 1097
"524" "middle_mean" 16 "lower" "normal" 1024
"525" "middle_mean" 16 "lower" "t" 1041
"526" "middle_mean" 16 "upper" "independent" 840
"527" "middle_mean" 16 "upper" "normal" 837
"528" "middle_mean" 16 "upper" "t" 837
"529" "middle_mean" 17 "lower" "independent" 1096
"530" "middle_mean" 17 "lower" "normal" 1027
"531" "middle_mean" 17 "lower" "t" 1039
"532" "middle_mean" 17 "upper" "independent" 758
"533" "middle_mean" 17 "upper" "normal" 753
"534" "middle_mean" 17 "upper" "t" 756
"535" "middle_mean" 18 "lower" "independent" 1089
"536" "middle_mean" 18 "lower" "normal" 1016
"537" "middle_mean" 18 "lower" "t" 1007
"538" "middle_mean" 18 "upper" "independent" 661
"539" "middle_mean" 18 "upper" "normal" 661
"540" "middle_mean" 18 "upper" "t" 666
"541" "middle_mean" 19 "lower" "independent" 74
"542" "middle_mean" 19 "lower" "normal" 73
"543" "middle_mean" 19 "lower" "t" 73
"544" "middle_mean" 19 "upper" "independent" 80
"545" "middle_mean" 19 "upper" "normal" 80
"546" "middle_mean" 19 "upper" "t" 80
"547" "middle_mean" 20 "lower" "independent" 73
"548" "middle_mean" 20 "lower" "normal" 71
"549" "middle_mean" 20 "lower" "t" 72
"550" "middle_mean" 20 "upper" "independent" 78
"551" "middle_mean" 20 "upper" "normal" 78
"552" "middle_mean" 20 "upper" "t" 78
"553" "middle_mean" 21 "lower" "independent" 70
"554" "middle_mean" 21 "lower" "normal" 69
"555" "middle_mean" 21 "lower" "t" 70
"556" "middle_mean" 21 "upper" "independent" 75
"557" "middle_mean" 21 "upper" "normal" 74
"558" "middle_mean" 21 "upper" "t" 74
"559" "middle_mean" 22 "lower" "independent" 66
"560" "middle_mean" 22 "lower" "normal" 64
"561" "middle_mean" 22 "lower" "t" 65
"562" "middle_mean" 22 "upper" "independent" 69
"563" "middle_mean" 22 "upper" "normal" 69
"564" "middle_mean" 22 "upper" "t" 69
"565" "middle_mean" 23 "lower" "independent" 60
"566" "middle_mean" 23 "lower" "normal" 59
"567" "middle_mean" 23 "lower" "t" 59
"568" "middle_mean" 23 "upper" "independent" 63
"569" "middle_mean" 23 "upper" "normal" 63
"570" "middle_mean" 23 "upper" "t" 63
"571" "middle_mean" 24 "lower" "independent" 51
"572" "middle_mean" 24 "lower" "normal" 52
"573" "middle_mean" 24 "lower" "t" 51
"574" "middle_mean" 24 "upper" "independent" 55
"575" "middle_mean" 24 "upper" "normal" 55
"576" "middle_mean" 24 "upper" "t" 55
"577" "middle_mean" 25 "lower" "independent" 1011
"578" "middle_mean" 25 "lower" "normal" 961
"579" "middle_mean" 25 "lower" "t" 966
"580" "middle_mean" 25 "upper" "independent" 1028
"581" "middle_mean" 25 "upper" "normal" 993
"582" "middle_mean" 25 "upper" "t" 1005
"583" "middle_mean" 26 "lower" "independent" 1045
"584" "middle_mean" 26 "lower" "normal" 982
